university,city,state,city_population_density,city_population
DePauw University,Greencastle,IN,1854,9983
Dickinson College,Carlisle,PA,3688,20144
Drew University,Madison,NJ,3977,16948
Earlham College,Richmond,IN,3856,35817
Emerson College,Boston,MA,13943,673184
Fairfax University of America,Fairfax,VA,4097,24276
Fisk University,Nashville,TN,1390,660388
Florida Institute of Technology,Melbourne,FL,2398,81185
Franklin and Marshall College,Lancaster,PA,8191,59218
Gallaudet University,Washington,DC,11158,681170
Gannon University,Erie,PA,5167,98593
Gettysburg College,Gettysburg,PA,4220,7392
Gordon College,Wenham,MA,610,5284
Grinnell College,Grinnell,IA,1681,9513
Hamilton College,Clinton,NY,2688,1664
Hampshire College,Amherst,MA,1422,37819
Harding University,Searcy,AR,1252,23098
Harvey Mudd College,Claremont,CA,35703,2826
Haverford College,Haverford,PA,1818,49391
Hollins University,Roanoke,VA,2342,99660
Juniata College,Huntingdon,PA,2012,6818
Kenyon College,Gambier,OH,2362,2193
Knox College,Galesburg,IL,1692,29712
Lafayette College,Easton,PA,6660,28057
Lake Forest College,Lake Forest,IL,1126,19253
Lawrence Technological University,Southfield,MI,2783,73100
Lawrence University,Appleton,WI,3057,74370
Lincoln Memorial University,Harrogate,TN,606,4327
Loma Linda University,Loma Linda,CA,3278,25072
Loyola Marymount University,Los Angeles,CA,8484,3976322
Luther College,Decorah,IA,1052,7747
Lynn University,Boca Raton,FL,3277,96114
Lyon College,Batesville,AR,965,11166
Macalester College,St. Paul,MN,5818,302398
Maryland Institute College of Art,Baltimore,MD,7594,614664
Marymount University,Arlington,VA,9418,238643
Maryville College,Maryville,TN,1901,32263
MCPHS University,Boston,MA,13943,673184
Menlo College,Atherton,CA,1433,6915
Middlebury College,Middlebury,VT,535,7448
Missouri Valley College,Marshall,MO,1364,13506
Moody Bible Institute,Chicago,IL,11883,2704958
Mount Holyoke College,South Hadley,MA,945,17806
New York School of Interior Design,New York,NY,28211,8537673
Niagara University,Lewiston,NY,431,2695
Nova Southeastern University,Ft. Lauderdale,FL,5284,181668
Oakland City University,Oakland City,IN,2203,2278
Oberlin College,Oberlin,OH,1751,8249
Occidental College,Los Angeles,CA,8484,3976322
Oglethorpe University,Atlanta,GA,3549,472522
Ohio Wesleyan University,Delaware,OH,2208,42814
Oklahoma City University,Oklahoma City,OK,1053,638367
Oral Roberts University,Tulsa,OK,2049,403090
Otis College of Art and Design,Los Angeles,CA,8484,3976322
Pace University,New York,NY,28211,8537673
Pepperdine University,Malibu,CA,540,10429
Pitzer College,Claremont,CA,2826,35703
Pomona College,Claremont,CA,2826,35703
Principia College,Elsah,IL,475,528
Randolph College,Lynchburg,VA,1633,80212
Rhode Island School of Design,Providence,RI,9740,179219
Rhodes College,Memphis,TN,2072,652717
Ringling College of Art and Design,Sarasota,FL,3862,56610
Robert Morris University,Moon Township,PA,939,25480
Rose-Hulman Institute of Technology,Terre Haute,IN,1762,60852
Saint Leo University,Saint Leo,FL,2103,1634
San Francisco Conservatory of Music,San Francisco,CA,18581,870887
Santa Clara University,Santa Clara,CA,6841,125948
Sarah Lawrence College,Bronxville,NY,6848,6525
Savannah College of Art and Design,Savannah,GA,1423,146763
School of the Art Institute of Chicago,Chicago,IL,11883,2704958
Seattle Pacific University,Seattle,WA,8391,704352
Skidmore College,Saratoga Springs,NY,1029,28301
Soka University of America,Aliso Viejo,CA,6884,51424
St. Thomas University,Miami Gardens,FL,6202,113058
Suffolk University,Boston,MA,13943,673184
Swarthmore College,Swarthmore,PA,4724,6595
Sweet Briar College,Sweet Briar,VA,321,598
Texas Christian University,Fort Worth,TX,2513,854113
The Juilliard School,New York,NY,28211,8537673
The King's College,New York,NY,28211,8537673
The University of Tampa,Tampa,FL,3326,377165
Thomas Aquinas College,Santa Paula,CA,6812,30759
Trevecca Nazarene University,Nashville,TN,1390,660388
Trinity College,Hartford,CT,7091,123243
Union College,Schenectady,NY,6022,64913
University of Charleston,Charleston,WV,1535,48018
University of Detroit Mercy,Detroit,MI,4849,672795
University of Indianapolis,Indianapolis,IN,2366,855164
University of La Verne,La Verne,CA,3744,30680
University of New Haven,West Haven,CT,5071,54516
University of Richmond,Richmond,VA,3731,223170
University of the Ozarks,Clarksville,AR,542,9476
University of Western States,Portland,OR,4795,639863
Vassar College,Poughkeepsie,NY,6137,31850
Walsh University,North Canton,OH,2788,17891
Wartburg College,Waverly,IA,923,10398
Washington and Lee University,Lexington,VA,2951,7456
Wellesley College,Wellesley,MA,2980,28747
Wesleyan University,Middletown,CT,1164,47108
Whitman College,Walla Walla,WA,2517,33927
Whittier College,Whittier,CA,5931,86883
Wilkes University,Wilkes-Barre,PA,6473,44453
Williams College,Williamstown,MA,92,4304
Wingate University,Wingate,NC,1817,3907
Academy of Art University,San Francisco,CA,18581,870887
Full Sail University,Winter Park,FL,3452,29131
Monroe College,New Rochelle,NY,7687,79557
Musicians Institute,Hollywood,CA,22193,34938
School of Visual Arts,New York,NY,28211,8537673
