name,city,state,basic2021_carnegie,sizeset2021_carnegie,control_carnegie,enrprofile2021_carnegie,locale_carnegie
Moorpark College,Moorpark,CA,1,4,1,1,22
Moraine Park Technical College,Fond du Lac,WI,8,2,1,1,13
Moraine Valley Community College,Palos Hills,IL,6,4,1,1,21
Moravian University,Bethlehem,PA,20,11,2,4,13
Morehead State University,Morehead,KY,18,13,1,3,33
Morehouse College,Atlanta,GA,21,11,2,2,11
Morehouse School of Medicine,Atlanta,GA,25,18,2,7,11
Moreno Valley College,Moreno Valley,CA,2,3,1,1,21
Morgan Community College,Fort  Morgan,CO,9,2,1,1,33
Morgan State University,Baltimore,MD,16,13,1,4,11
Morningside University,Sioux City,IA,18,11,2,5,13
Morris College,Sumter,SC,22,8,2,2,13
Morrison Institute of Technology,Morrison,IL,11,1,2,1,32
Morton College,Cicero,IL,8,2,1,1,21
Motlow State Community College,Tullahoma,TN,1,3,1,1,41
Mott Community College,Flint,MI,1,3,1,1,13
Mount Aloysius College,Cresson,PA,22,7,2,3,31
Mount Angel Seminary,Saint Benedict,OR,24,8,2,6,31
Mount Carmel College of Nursing,Columbus,OH,26,6,2,4,11
Mount Holyoke College,South Hadley,MA,21,11,2,3,21
Mount Marty University,Yankton,SD,20,8,2,4,33
Mount Mary University,Milwaukee,WI,18,10,2,5,11
Mount Mercy University,Cedar Rapids,IA,19,10,2,4,12
Mount Saint Joseph University,Cincinnati,OH,17,10,2,5,21
Mount Saint Mary College,Newburgh,NY,19,10,2,3,13
Mount Saint Mary's University,Los Angeles,CA,18,10,2,5,11
Mount St. Mary's University,Emmitsburg,MD,19,11,2,4,31
Mount Vernon Nazarene University,Mount Vernon,OH,19,11,2,4,32
Mount Wachusett Community College,Gardner,MA,7,2,1,1,41
Mountain Empire Community College,Big Stone Gap,VA,6,2,1,1,32
Mountain Gateway Community College,Clifton Forge,VA,3,2,1,1,41
Mountain State College,Parkersburg,WV,10,1,3,1,13
Mountwest Community and Technical College,Huntington,WV,8,2,1,1,22
Mt Hood Community College,Gresham,OR,3,3,1,1,21
Mt San Antonio College,Walnut,CA,4,5,1,1,21
Mt San Jacinto Community College District,San Jacinto,CA,4,4,1,1,22
MTI College,Sacramento,CA,8,1,3,1,21
Muhlenberg College,Allentown,PA,21,11,2,3,12
Multnomah University,Portland,OR,20,8,2,5,11
Murray State College,Tishomingo,OK,1,2,1,1,42
Murray State University,Murray,KY,18,13,1,4,33
Musicians Institute,Hollywood,CA,30,6,3,2,11
Muskegon Community College,Muskegon,MI,5,2,1,1,13
Muskingum University,New Concord,OH,20,11,2,4,32
MyComputerCareer.edu-Columbus,Westerville,OH,11,3,3,1,21
Myotherapy Institute,Lincoln,NE,10,1,3,1,11
Napa Valley College,Napa,CA,1,3,1,1,13
Naropa University,Boulder,CO,19,7,2,6,12
Nash Community College,Rocky Mount,NC,6,2,1,1,41
Nashotah House,Nashotah,WI,24,18,2,7,21
Nashua Community College,Nashua,NH,6,2,1,1,13
Nashville State Community College,Nashville,TN,1,3,1,1,11
Nassau Community College,Garden City,NY,1,4,1,1,21
National American University-Ellsworth AFB Extension,Ellsworth Air Force Base,SD,29,6,3,2,31
National American University-Kings Bay,Kings Bay,GA,29,6,3,2,41
National American University-Rapid City,Rapid City,SD,17,6,3,5,13
National Career College,Panorama City,CA,8,1,3,1,11
National Career Education,Citrus Heights,CA,10,1,3,1,21
National Defense University,Washington,DC,32,18,1,7,32
National Intelligence University,Washington,DC,32,6,1,6,32
National Louis University,Chicago,IL,17,12,2,5,11
National Paralegal College,Phoenix,AZ,31,6,3,4,11
National Park College,Hot Springs,AR,4,2,1,1,23
National Polytechnic College,Lakewood,CA,10,1,3,1,21
National University,La Jolla,CA,18,15,2,6,11
National University of Health Sciences,Lombard,IL,26,6,2,6,21
National University of Natural Medicine,Portland,OR,26,6,2,6,11
Naugatuck Valley Community College,Waterbury,CT,4,3,1,1,22
Navajo Technical University,Crownpoint,NM,33,7,1,3,43
Naval Postgraduate School,Monterey,CA,18,18,1,7,22
Navarro College,Corsicana,TX,4,3,1,1,32
Nazarene Bible College,Colorado Springs,CO,24,6,2,2,11
Nazarene Theological Seminary,Kansas City,MO,24,18,2,7,11
Nazareth College,Rochester,NY,18,11,2,4,21
Nebraska College of Technical Agriculture,Curtis,NE,13,1,1,1,43
Nebraska Indian Community College,Macy,NE,33,9,1,1,42
Nebraska Methodist College of Nursing & Allied Health,Omaha,NE,26,6,2,5,11
Nebraska Wesleyan University,Lincoln,NE,20,11,2,3,11
Neosho County Community College,Chanute,KS,8,2,1,1,33
Ner Israel Rabbinical College,Baltimore,MD,24,8,2,5,21
Neumann University,Aston,PA,19,10,2,4,21
Neumont College of Computer Science,Salt Lake City,UT,28,8,3,2,12
Nevada Career Institute,Las Vegas,NV,10,1,3,1,11
Nevada State College,Henderson,NV,22,9,1,3,41
New Brunswick Theological Seminary,New Brunswick,NJ,24,18,2,7,13
New Castle School of Trades,New Castle,PA,7,2,3,1,41
New College of Florida,Sarasota,FL,21,8,1,3,13
New England College,Henniker,NH,18,14,2,6,42
New England College of Optometry,Boston,MA,26,18,2,7,11
New England Institute of Technology,East Greenwich,RI,20,9,2,3,21
New England Law-Boston,Boston,MA,31,18,2,7,11
New Hope Christian College-Eugene,Eugene,OR,24,8,2,2,12
New Jersey City University,Jersey City,NJ,18,12,1,4,11
New Jersey Institute of Technology,Newark,NJ,15,12,1,4,11
New Mexico Highlands University,Las Vegas,NM,18,10,1,5,33
New Mexico Institute of Mining and Technology,Socorro,NM,20,11,1,4,33
New Mexico Junior College,Hobbs,NM,4,2,1,1,33
New Mexico Military Institute,Roswell,NM,2,1,1,1,33
New Mexico State University-Alamogordo,Alamogordo,NM,3,1,1,1,41
New Mexico State University-Carlsbad,Carlsbad,NM,3,2,1,1,41
New Mexico State University-Dona Ana,Las Cruces,NM,5,3,1,1,41
New Mexico State University-Grants,Grants,NM,6,1,1,1,33
New Mexico State University-Main Campus,Las Cruces,NM,16,16,1,4,22
New Orleans Baptist Theological Seminary,New Orleans,LA,24,9,2,6,11
New River Community and Technical College,Beaver,WV,7,2,1,1,23
New River Community College,Dublin,VA,6,3,1,1,31
New Saint Andrews College,Moscow,ID,21,6,2,4,32
New York Academy of Art,New York,NY,30,18,2,7,11
New York Automotive and Diesel Institute,Jamaica,NY,11,1,3,1,11
New York College of Health Professions,Syosset,NY,26,6,2,5,21
New York College of Podiatric Medicine,New York,NY,26,18,2,7,11
New York College of Traditional Chinese Medicine,Mineola,NY,26,18,2,6,21
New York Conservatory for Dramatic Arts,New York,NY,12,1,3,1,11
New York Film Academy,Burbank,CA,30,9,3,4,12
New York Institute of Technology,Old Westbury,NY,18,12,2,5,21
New York Law School,New York,NY,31,18,2,7,11
New York Medical College,Valhalla,NY,25,18,2,7,21
New York School for Medical and Dental Assistants,Long Island City,NY,10,1,3,1,11
New York School of Interior Design,New York,NY,30,6,2,5,11
New York Theological Seminary,New York,NY,24,18,2,7,11
New York University,New York,NY,15,16,2,5,11
Newberry College,Newberry,SC,22,11,2,2,32
Newman University,Wichita,KS,19,10,2,5,11
Newschool of Architecture and Design,San Diego,CA,20,6,3,4,11
NHTI-Concord's Community College,Concord,NH,6,2,1,1,31
Niagara County Community College,Sanborn,NY,4,3,1,1,41
Niagara University,Niagara University,NY,18,14,2,4,21
Nicholls State University,Thibodaux,LA,19,12,1,3,13
Nichols College,Dudley,MA,19,11,2,3,21
Nicolet Area Technical College,Rhinelander,WI,8,2,1,1,41
Nightingale College,Salt Lake City,UT,26,9,3,3,12
Norco College,Norco,CA,2,3,1,1,21
Norfolk State University,Norfolk,VA,19,14,1,3,12
Normandale Community College,Bloomington,MN,3,4,1,1,13
North American University,Stafford,TX,19,8,2,5,21
North Arkansas College,Harrison,AR,4,2,1,1,33
North Carolina A & T State University,Greensboro,NC,16,17,1,4,11
North Carolina Central University,Durham,NC,18,14,1,4,11
North Carolina State University at Raleigh,Raleigh,NC,15,16,1,4,11
North Carolina Wesleyan College,Rocky Mount,NC,22,11,2,3,13
North Central College,Naperville,IL,20,11,2,4,12
North Central Institute,Clarksville,TN,11,1,3,1,12
North Central Kansas Technical College,Beloit,KS,8,2,1,1,41
North Central Michigan College,Petoskey,MI,3,2,1,1,41
North Central Missouri College,Trenton,MO,7,2,1,1,33
North Central State College,Mansfield,OH,9,2,1,1,41
North Central Texas College,Gainesville,TX,6,3,1,1,32
North Central University,Minneapolis,MN,22,8,2,3,11
North Country Community College,Saranac Lake,NY,8,2,1,1,33
North Dakota State College of Science,Wahpeton,ND,7,2,1,1,32
North Dakota State University-Main Campus,Fargo,ND,15,17,1,4,12
North Florida College,Madison,FL,14,6,1,2,41
North Georgia Technical College,Clarkesville,GA,8,2,1,1,41
North Greenville University,Tigerville,SC,20,11,2,4,41
North Hennepin Community College,Brooklyn Park,MN,3,3,1,1,21
North Idaho College,Coeur d'Alene,ID,2,3,1,1,13
North Iowa Area Community College,Mason City,IA,5,2,1,1,33
North Park University,Chicago,IL,18,11,2,4,11
North Seattle College,Seattle,WA,23,9,1,2,11
North Shore Community College,Danvers,MA,4,3,1,1,21
Northampton County Area Community College,Bethlehem,PA,4,4,1,1,21
Northcentral Technical College,Wausau,WI,9,3,1,1,13
Northcentral University,La Jolla,CA,17,12,2,6,11
Northeast Alabama Community College,Rainsville,AL,5,2,1,1,42
Northeast College of Health Sciences,Seneca Falls,NY,26,18,2,7,32
Northeast Community College,Norfolk,NE,8,3,1,1,33
Northeast Iowa Community College,Calmar,IA,9,3,1,1,42
Northeast Lakeview College,Universal City,TX,2,3,1,1,21
Northeast Mississippi Community College,Booneville,MS,4,3,1,1,33
Northeast Ohio Medical University,Rootstown,OH,25,18,1,7,21
Northeast State Community College,Blountville,TN,4,3,1,1,41
Northeast Texas Community College,Mount Pleasant,TX,5,2,1,1,42
Northeast Wisconsin Technical College,Green Bay,WI,8,4,1,1,12
Northeastern Illinois University,Chicago,IL,18,12,1,4,11
Northeastern Junior College,Sterling,CO,5,2,1,1,33
Northeastern Oklahoma A&M College,Miami,OK,4,2,1,1,32
Northeastern Seminary,Rochester,NY,24,18,2,7,21
Northeastern State University,Tahlequah,OK,18,12,1,4,33
Northeastern Technical College,Cheraw,SC,9,2,1,1,41
Northeastern University,Boston,MA,15,17,2,5,11
Northeastern University Lifelong Learning Network,Boston,MA,17,12,2,6,11
Northern Arizona University,Flagstaff,AZ,16,16,1,4,13
Northern Baptist Theological Seminary,Lisle,IL,24,18,2,7,21
Northern Essex Community College,Haverhill,MA,4,3,1,1,21
Northern Illinois University,Dekalb,IL,16,16,1,4,23
Northern Kentucky University,Highland Heights,KY,17,15,1,4,21
Northern Maine Community College,Presque Isle,ME,8,1,1,1,33
Northern Marianas College,Saipan,MP,23,9,1,2,33
Northern Michigan University,Marquette,MI,19,13,1,3,33
Northern New Mexico College,Espanola,NM,23,6,1,2,32
Northern Oklahoma College,Tonkawa,OK,5,3,1,1,33
Northern Pennsylvania Regional College,Warren,PA,3,1,2,1,33
Northern State University,Aberdeen,SD,20,11,1,4,33
Northern Vermont University,Johnson,VT,20,10,1,3,42
Northern Virginia Community College,Annandale,VA,2,5,1,1,21
Northern Wyoming Community College District,Sheridan,WY,6,3,1,1,33
Northland College,Ashland,WI,22,8,2,2,33
Northland Community and Technical College,Thief River Falls,MN,8,2,1,1,33
Northland Pioneer College,Holbrook,AZ,9,2,1,1,41
Northpoint Bible College,Haverhill,MA,24,7,2,3,21
Northshore Technical Community College,Lacombe,LA,8,3,1,1,41
NorthWest Arkansas Community College,Bentonville,AR,2,3,1,1,13
Northwest Career College,Las Vegas,NV,8,2,3,1,11
Northwest College,Powell,WY,5,2,1,1,33
Northwest College of Art & Design,Tacoma,WA,30,6,3,2,12
North-West College-West Covina,West Covina,CA,10,2,3,1,21
Northwest Florida State College,Niceville,FL,23,9,1,2,41
Northwest Indian College,Bellingham,WA,33,6,1,2,41
Northwest Iowa Community College,Sheldon,IA,9,2,1,1,41
Northwest Kansas Technical College,Goodland,KS,8,1,1,1,33
Northwest Louisiana Technical Community College,Minden,LA,11,2,1,1,41
Northwest Mississippi Community College,Senatobia,MS,4,4,1,1,32
Northwest Missouri State University,Maryville,MO,18,14,1,4,33
Northwest Nazarene University,Nampa,ID,18,11,2,5,22
Northwest School of Wooden Boat Building,Port Hadlock,WA,11,1,2,1,41
Northwest State Community College,Archbold,OH,9,2,1,1,42
Northwest Technical College,Bemidji,MN,9,1,1,1,33
Northwest University,Kirkland,WA,19,11,2,5,21
Northwest University-College of Adult and Professional Studies,Kirkland,WA,22,6,2,4,21
Northwest Vista College,San Antonio,TX,2,4,1,1,11
Northwestern College,Orange City,IA,19,11,2,4,32
Northwestern College,Bridgeview,IL,26,6,3,2,21
Northwestern Connecticut Community College,Winsted,CT,4,2,1,1,31
Northwestern Health Sciences University,Bloomington,MN,26,6,2,6,13
Northwestern Michigan College,Traverse City,MI,14,9,1,2,33
Northwestern Oklahoma State University,Alva,OK,20,11,1,3,33
Northwestern Polytechnic University,Fremont,CA,28,8,2,6,21
Northwestern State University of Louisiana,Natchitoches,LA,18,12,1,3,33
Northwestern University,Evanston,IL,15,16,2,6,13
Northwest-Shoals Community College,Muscle Shoals,AL,8,2,1,1,13
Northwood Technical College,Shell Lake,WI,9,2,1,1,42
Northwood University,Midland,MI,29,10,2,3,13
Norwalk Community College,Norwalk,CT,5,3,1,1,13
Norwich University,Northfield,VT,18,13,2,4,32
Nossi College of Art,Nashville,TN,30,6,3,2,11
Notre Dame College,Cleveland,OH,22,10,2,3,21
Notre Dame de Namur University,Belmont,CA,19,7,2,6,21
Notre Dame of Maryland University,Baltimore,MD,18,10,2,6,11
Nova Southeastern University,Fort Lauderdale,FL,16,16,2,6,21
NUC University,Bayamon,PR,18,15,3,3,12
Nueta Hidatsa Sahnish College,New Town,ND,33,6,1,2,43
Nunez Community College,Chalmette,LA,8,2,1,1,21
Nyack College,New York,NY,18,10,2,5,11
Oak Hills Christian College,Bemidji,MN,22,8,2,2,33
Oak Point University,Chicago,IL,26,6,2,3,11
Oak Valley College,Rialto,CA,29,6,2,2,21
Oakland City University,Oakland City,IN,17,8,2,4,32
Oakland Community College,Bloomfield Hills,MI,2,4,1,1,21
Oakland University,Rochester Hills,MI,16,15,1,4,21
Oakton Community College,Des Plaines,IL,3,3,1,1,13
Oakwood University,Huntsville,AL,21,11,2,3,12
Oberlin College,Oberlin,OH,21,11,2,3,31
Oblate School of Theology,San Antonio,TX,24,18,2,7,11
Occidental College,Los Angeles,CA,21,11,2,2,11
Ocean County College,Toms River,NJ,3,3,1,1,21
Oconee Fall Line Technical College,Sandersville,GA,8,2,1,1,41
Odessa College,Odessa,TX,6,3,1,1,12
Ogeechee Technical College,Statesboro,GA,8,2,1,1,32
Oglala Lakota College,Kyle,SD,33,6,1,3,43
Oglethorpe University,Atlanta,GA,21,11,2,2,21
Ohel Margulia Seminary,Monsey,NY,13,1,2,1,21
Ohio Business College-Sandusky,Sandusky,OH,13,1,3,1,32
Ohio Business College-Sheffield,Sheffield Village,OH,13,1,3,1,22
Ohio Christian University,Circleville,OH,19,9,2,4,32
Ohio Dominican University,Columbus,OH,19,11,2,4,11
Ohio Northern University,Ada,OH,22,11,2,5,31
Ohio State University Agricultural Technical Institute,Wooster,OH,4,2,1,1,32
Ohio State University-Lima Campus,Lima,OH,22,6,1,3,41
Ohio State University-Main Campus,Columbus,OH,15,16,1,4,11
Ohio State University-Mansfield Campus,Mansfield,OH,23,6,1,3,41
Ohio State University-Marion Campus,Marion,OH,23,6,1,3,32
Ohio State University-Newark Campus,Newark,OH,23,9,1,3,23
Ohio Technical College,Cleveland,OH,11,1,3,1,11
Ohio University-Chillicothe Campus,Chillicothe,OH,6,2,1,1,32
Ohio University-Eastern Campus,Saint Clairsville,OH,3,2,1,1,41
Ohio University-Lancaster Campus,Lancaster,OH,6,2,1,1,41
Ohio University-Main Campus,Athens,OH,15,16,1,4,32
Ohio University-Southern Campus,Ironton,OH,9,2,1,1,22
Ohio University-Zanesville Campus,Zanesville,OH,6,2,1,1,32
Ohio Wesleyan University,Delaware,OH,21,11,2,2,21
Ohlone College,Fremont,CA,8,4,1,1,21
Oklahoma Baptist University,Shawnee,OK,20,11,2,3,32
Oklahoma Christian University,Edmond,OK,19,11,2,4,11
Oklahoma City Community College,Oklahoma City,OK,1,4,1,1,11
Oklahoma City University,Oklahoma City,OK,17,11,2,5,11
Oklahoma Panhandle State University,Goodwell,OK,22,11,1,2,42
Oklahoma State University Center for Health Sciences,Tulsa,OK,25,18,1,7,11
Oklahoma State University Institute of Technology,Okmulgee,OK,23,10,1,2,32
Oklahoma State University-Main Campus,Stillwater,OK,15,16,1,4,32
Oklahoma State University-Oklahoma City,Oklahoma City,OK,14,9,1,2,11
Oklahoma Wesleyan University,Bartlesville,OK,20,7,2,3,32
Old Dominion University,Norfolk,VA,15,16,1,4,12
Olivet College,Olivet,MI,22,8,2,3,42
Olivet Nazarene University,Bourbonnais,IL,18,11,2,4,23
Olney Central College,Olney,IL,8,2,1,1,33
Olympic College,Bremerton,WA,14,12,1,2,13
Omega Graduate School,Dayton,TN,20,18,2,7,41
Onondaga Community College,Syracuse,NY,2,4,1,1,21
Oral Roberts University,Tulsa,OK,19,14,2,4,11
Orange Coast College,Costa Mesa,CA,1,5,1,1,12
Orange County Community College,Middletown,NY,1,3,1,1,13
Orangeburg Calhoun Technical College,Orangeburg,SC,8,2,1,1,41
Oregon Coast Community College,Newport,OR,6,1,1,1,41
Oregon College of Oriental Medicine,Portland,OR,26,18,2,7,11
Oregon Health & Science University,Portland,OR,27,9,1,6,11
Oregon Institute of Technology,Klamath Falls,OR,22,9,1,3,33
Oregon State University,Corvallis,OR,15,15,1,4,13
Orion Technical College,Davenport,IA,28,6,3,2,12
Otero College,La Junta,CO,8,2,1,1,33
Otis College of Art and Design,Los Angeles,CA,30,10,2,3,11
Ottawa University-Kansas City,Overland Park,KS,20,6,2,5,12
Ottawa University-Milwaukee,Brookfield,WI,22,6,2,5,21
Ottawa University-Online,Ottawa,KS,22,6,2,5,32
Ottawa University-Ottawa,Ottawa,KS,22,8,2,3,32
Ottawa University-Phoenix,Phoenix,AZ,19,6,2,6,11
Ottawa University-Surprise,Surprise,AZ,22,8,2,3,21
Otterbein University,Westerville,OH,19,11,2,3,21
Ouachita Baptist University,Arkadelphia,AR,21,11,2,3,32
Our Lady of the Lake University,San Antonio,TX,17,10,2,6,11
Owens Community College,Perrysburg,OH,6,3,1,1,21
Owensboro Community and Technical College,Owensboro,KY,6,3,1,1,41
Oxnard College,Oxnard,CA,1,3,1,1,12
Ozark Christian College,Joplin,MO,24,7,2,2,13
Ozarka College,Melbourne,AR,1,2,1,1,43
Ozarks Technical Community College,Springfield,MO,7,4,1,1,12
Pace University,New York,NY,17,16,2,5,11
Pacific Bible College,Medford,OR,13,1,2,1,13
Pacific College,Costa Mesa,CA,26,6,3,3,12
Pacific College of Health and Science,San Diego,CA,26,9,3,6,11
Pacific College of Health Science-Chicago,Chicago,IL,26,18,3,6,11
Pacific College of Oriental Medicine-New York,New York,NY,26,6,3,6,11
Pacific Islands University,Mangilao,GU,21,6,2,2,33
Pacific Lutheran University,Tacoma,WA,19,11,2,4,21
Pacific Northwest University of Health Sciences,Yakima,WA,25,18,2,7,22
Pacific Oaks College,Pasadena,CA,19,6,2,6,12
Pacific Rim Christian University,Honolulu,HI,22,6,2,4,11
Pacific School of Religion,Berkeley,CA,24,18,2,7,12
Pacific States University,Los Angeles,CA,29,6,2,6,11
Pacific Union College,Angwin,CA,22,8,2,3,41
Pacific University,Forest Grove,OR,17,14,2,6,21
Pacifica Graduate Institute,Carpinteria,CA,26,18,3,7,41
Paier College of Art Inc,Hamden,CT,22,6,3,2,21
Paine College,Augusta,GA,21,8,2,2,12
Palau Community College,Koror,PW,1,1,1,1,-3
Palm Beach Atlantic University,West Palm Beach,FL,17,11,2,4,12
Palm Beach State College,Lake Worth,FL,14,15,1,2,21
Palmer College of Chiropractic,Davenport,IA,26,11,2,6,12
Palo Alto College,San Antonio,TX,3,4,1,1,11
Palo Alto University,Palo Alto,CA,26,6,2,6,41
Palo Verde College,Blythe,CA,2,2,1,1,42
Palomar College,San Marcos,CA,4,5,1,1,21
Pamlico Community College,Grantsboro,NC,6,1,1,1,42
Panola College,Carthage,TX,5,2,1,1,32
Paradise Valley Community College,Phoenix,AZ,2,3,1,1,11
Pardee RAND Graduate School,Santa Monica,CA,32,18,2,7,13
Paris Junior College,Paris,TX,3,3,1,1,33
Park University,Parkville,MO,18,12,2,4,21
Parker University,Dallas,TX,18,9,2,6,11
Parkland College,Champaign,IL,6,3,1,1,13
Pasadena City College,Pasadena,CA,1,5,1,1,12
Pasco-Hernando State College,New Port Richey,FL,23,12,1,2,21
Passaic County Community College,Paterson,NJ,4,3,1,1,21
Patrick & Henry Community College,Martinsville,VA,2,2,1,1,41
Patrick Henry College,Purcellville,VA,21,8,2,2,31
Paul D Camp Community College,Franklin,VA,3,2,1,1,32
Paul Quinn College,Dallas,TX,22,8,2,2,11
Paul Smiths College of Arts and Science,Paul Smiths,NY,22,8,2,3,42
Payne Theological Seminary,Wilberforce,OH,24,18,2,7,41
PCI College,Cerritos,CA,26,6,3,2,21
Pearl River Community College,Poplarville,MS,4,3,1,1,43
Peirce College,Philadelphia,PA,22,6,2,3,11
Pellissippi State Community College,Knoxville,TN,1,4,1,1,21
Peloton College,Dallas,TX,7,1,3,1,11
Peninsula College,Port Angeles,WA,14,6,1,2,33
Penn Commercial Business/Technical School,Washington,PA,9,1,3,1,21
Pennco Tech-Bristol,Bristol,PA,11,1,3,1,21
Pennsylvania Academy of the Fine Arts,Philadelphia,PA,30,6,2,5,11
Pennsylvania College of Art and Design,Lancaster,PA,30,7,2,2,13
Pennsylvania College of Health Sciences,Lancaster,PA,26,9,2,3,21
Pennsylvania College of Technology,Williamsport,PA,23,13,1,2,13
Pennsylvania Highlands Community College,Johnstown,PA,6,2,1,1,23
Pennsylvania Institute of Technology,Media,PA,10,1,2,1,21
Pensacola State College,Pensacola,FL,23,12,1,2,13
Pentecostal Theological Seminary,Cleveland,TN,24,18,2,6,13
Pepperdine University,Malibu,CA,17,14,2,6,21
Perry Technical Institute,Yakima,WA,7,2,2,1,13
Peru State College,Peru,NE,19,10,1,3,42
Pfeiffer University,Misenheimer,NC,19,8,2,4,42
Philadelphia College of Osteopathic Medicine,Philadelphia,PA,25,18,2,7,11
Philander Smith College,Little Rock,AR,22,8,2,2,12
Phillips Community College of the University of Arkansas,Helena,AR,5,2,1,1,41
Phillips School of Nursing at Mount Sinai Beth Israel,New York,NY,26,6,2,2,11
Phillips Theological Seminary,Tulsa,OK,24,18,2,7,11
Phoenix College,Phoenix,AZ,2,3,1,1,11
Phoenix Institute of Herbal Medicine & Acupuncture,Phoenix,AZ,26,18,3,7,11
Phoenix Seminary,Scottsdale,AZ,24,18,2,7,11
Piedmont Community College,Roxboro,NC,6,2,1,1,41
Piedmont Technical College,Greenwood,SC,7,3,1,1,32
Piedmont University,Demorest,GA,18,11,2,5,32
Piedmont Virginia Community College,Charlottesville,VA,3,3,1,1,23
Pierce College District,Lakewood,WA,14,12,1,2,13
Pierpont Community and Technical College,Fairmont,WV,7,2,1,1,32
Pikes Peak State College,Colorado Springs,CO,14,12,1,2,21
Pillar College,Newark,NJ,21,6,2,5,11
Pima Community College,Tucson,AZ,3,4,1,1,11
Pima Medical Institute-Albuquerque,Albuquerque,NM,10,2,3,1,11
Pima Medical Institute-Aurora,Aurora,CO,10,1,3,1,11
Pima Medical Institute-Chula Vista,Chula Vista,CA,10,2,3,1,11
Pima Medical Institute-Colorado Springs,Colorado Springs,CO,10,1,3,1,11
Pima Medical Institute-Denver,Denver,CO,10,2,3,1,21
Pima Medical Institute-Dillon,Dillon,MT,10,1,3,1,33
Pima Medical Institute-East Valley,Mesa,AZ,10,1,3,1,21
Pima Medical Institute-El Paso,El Paso,TX,10,1,3,1,11
Pima Medical Institute-Houston,Houston,TX,10,2,3,1,11
Pima Medical Institute-Las Vegas,Las Vegas,NV,10,2,3,1,12
Pima Medical Institute-Mesa,Mesa,AZ,10,2,3,1,11
Pima Medical Institute-Phoenix,Phoenix,AZ,8,2,3,1,11
Pima Medical Institute-Renton,Renton,WA,10,2,3,1,12
Pima Medical Institute-San Marcos,San Marcos,CA,10,2,3,1,21
Pima Medical Institute-Seattle,Seattle,WA,10,2,3,1,11
Pima Medical Institute-Tucson,Tucson,AZ,26,9,3,2,11
Pine Manor College,Chestnut Hill,MA,22,8,2,3,21
Pine Technical & Community College,Pine City,MN,9,2,1,1,33
Pitt Community College,Winterville,NC,6,3,1,1,22
Pittsburg State University,Pittsburg,KS,18,13,1,4,32
Pittsburgh Career Institute,Pittsburgh,PA,10,1,3,1,11
Pittsburgh Institute of Aeronautics,West Mifflin,PA,11,2,2,1,21
Pittsburgh Institute of Mortuary Science Inc,Pittsburgh,PA,12,1,2,1,11
Pittsburgh Technical College,Oakdale,PA,14,10,2,2,41
Pittsburgh Theological Seminary,Pittsburgh,PA,24,18,2,7,11
Pitzer College,Claremont,CA,21,8,2,2,21
Platt College-Anaheim,Anaheim,CA,23,6,3,2,11
Platt College-Aurora,Aurora,CO,26,6,3,2,11
Platt College-Berks Technical Institute,Wyomissing,PA,7,1,3,1,21
Platt College-Los Angeles,Alhambra,CA,23,6,3,2,21
Platt College-McCann-Allentown,Allentown,PA,7,1,3,1,21
Platt College-McCann-Lewisburg,Lewisburg,PA,7,1,3,1,32
Platt College-McCann-Monroe,Monroe,LA,7,1,3,1,13
Platt College-Miller-Motte Technical-Augusta,Augusta,GA,8,2,3,1,12
Platt College-Miller-Motte Technical-Charleston,Charleston,SC,7,1,3,1,12
Platt College-Miller-Motte Technical-Chattanooga,Chattanooga,TN,7,1,3,1,12
Platt College-Miller-Motte Technical-Columbus,Columbus,GA,7,1,3,1,12
Platt College-Miller-Motte Technical-Conway,Conway,SC,7,1,3,1,22
Platt College-Miller-Motte Technical-Macon,Macon,GA,13,1,3,1,12
Platt College-Miller-Motte-Fayetteville,Fayetteville,NC,10,1,3,1,12
Platt College-Miller-Motte-Jacksonville,Jacksonville,NC,13,1,3,1,13
Platt College-Miller-Motte-Raleigh,Raleigh,NC,10,1,3,1,11
Platt College-Miller-Motte-Wilmington,Wilmington,NC,23,9,3,2,12
Platt College-Ontario,Ontario,CA,23,6,3,2,12
Platt College-Riverside,Riverside,CA,23,6,3,2,11
Platt College-San Diego,San Diego,CA,30,6,3,2,11
Plaza College,Forest Hills,NY,23,6,3,2,11
Plymouth State University,Plymouth,NH,18,14,1,4,33
Point Loma Nazarene University,San Diego,CA,18,13,2,4,11
Point Park University,Pittsburgh,PA,17,10,2,4,11
Point University,West Point,GA,22,7,2,3,32
Polk State College,Winter Haven,FL,23,12,1,2,13
Polytechnic University of Puerto Rico-Miami,Miami,FL,22,6,2,6,13
Polytechnic University of Puerto Rico-Orlando,Orlando,FL,22,6,2,4,21
Pomeroy College of Nursing at Crouse Hospital,Syracuse,NY,10,1,2,1,12
Pomona College,Claremont,CA,21,11,2,2,21
Ponce Health Sciences University,Ponce,PR,25,18,3,7,12
Ponce Health Sciences University-Centro Universitario de San Juan,Santurce,PR,26,18,3,7,11
Ponce Health Sciences University-East,Ponce,PR,26,6,3,6,12
Ponce Health Sciences University-St Louis,St. Louis,MO,26,18,3,7,11
Pontifical Catholic University of Puerto Rico-Arecibo,Arecibo,PR,17,6,2,5,23
Pontifical Catholic University of Puerto Rico-Mayaguez,Mayaguez,PR,22,6,2,3,13
Pontifical Catholic University of Puerto Rico-Ponce,Ponce,PR,17,12,2,4,12
Pontifical College Josephinum,Columbus,OH,21,8,2,5,11
