university,city_land_area,international_students_natlib,international_students_max,tuition_kaggle,selectivity,world_rank_cat_arwu,world_rank_qs,type1_all,type2_carnegie,type3_natlib,type4_carnegie,enrprofile2021_carnegie,locale_carnegie,size_qs,stu_facl_ratio_qs,research_output_qs,award_arwu,hi_ci_arwu,n_s_arwu,pub_arwu,pcp_arwu,alumni_arwu,enrollment_kaggle,enrollment_top120enrollment,city,state,city_population_density,city_population
University of South Alabama (USA),139,NA,287,NA,NA,NA,1001-1200,public,NA,NA,NA,NA,NA,L,13,Medium High,NA,NA,NA,NA,NA,NA,NA,NA,Mobile,AL,1330,184952
Utah State University,18,NA,331,23434,NA,401-500,1001-1200,public,Four-year (large),NA,Doctoral Universities,Exclusive/Very high undergraduate,city,L,19,Very High,0,9.6,8.4,26.4,16.8,13.4,24647,27691,Logan,UT,2825,50676
Miami University,NA,NA,2260,NA,very competitive plus,NA,1001-1200,public,NA,NA,NA,NA,NA,L,17,Medium High,NA,NA,NA,NA,NA,NA,NA,NA,Oxford,OH,3000,22625
Portland State University,133,NA,1230,23769,NA,NA,1001-1200,public,Four-year (large),NA,Doctoral Universities,Majority undergraduate,city,L,17,Very High,NA,NA,NA,NA,NA,NA,18959,NA,Portland,OR,4795,639863
Mississippi State University,NA,NA,730,24900,NA,401-500,1001-1200,public,Four-year (large),NA,Doctoral Universities,Majority undergraduate,town or rural,L,18,Very High,0,13.5,5.1,25,15.9,0,18803,NA,Starkville,MS,955,24657
Florida Atlantic University - Boca Raton,29,NA,998,NA,NA,NA,1001-1200,public,NA,NA,NA,NA,NA,L,19,Medium High,NA,NA,NA,NA,NA,NA,NA,NA,Boca Raton,FL,3428,95787
Western Michigan University,25,0.06,1664,17591,NA,NA,1001-1200,public,Four-year (large),National,Doctoral Universities,Majority undergraduate,city,L,16,Medium High,NA,NA,NA,NA,NA,NA,16554,NA,Kalamazoo,MI,3079,75984
Northern Arizona University,64,NA,1162,26642,NA,NA,1001-1200,public,Four-year (large),NA,Doctoral Universities,Majority undergraduate,city,L,22,Medium High,NA,NA,NA,NA,NA,NA,25230,29566,Flagstaff,AZ,1119,71459
Ohio University,NA,NA,977,22810,NA,NA,1001-1200,public,NA,NA,NA,NA,NA,L,20,Medium High,NA,NA,NA,NA,NA,NA,18913,NA,Athens,OH,2427,24311
University of Texas at San Antonio,461,NA,775,25920,NA,NA,801-1000,public,NA,NA,NA,NA,NA,L,22,Very High,NA,NA,NA,NA,NA,NA,29959,NA,San Antonio,TX,3002,1452000
Kent State University,NA,NA,1465,20800,NA,401-500,1001-1200,public,NA,NA,NA,NA,NA,L,19,Very High,0,13.5,9.3,24,15.6,0,21621,NA,Kent,KY,110,628594
San Diego State University,325,0.05,2092,20016,NA,NA,1001-1200,public,Four-year (large),National,Doctoral Universities,Majority undergraduate,city,XL,25,Very High,NA,NA,NA,NA,NA,NA,31086,36334,San Diego,CA,4326,1406630
