university,total_score_arwu,world_rank_cat_arwu,world_rank_arwu,national_rank_arwu,n_s_arwu,hi_ci_arwu,alumni_arwu,award_arwu,pub_arwu,pcp_arwu,national_rank_kaggle,tuition_kaggle,enrollment_kaggle,city.x,state_natlib,international_students_natlib,type3_natlib,city.y,state_opendoors,international_students_opendoors,size_qs,type1_qs,city.x.x,score_qs,world_rank_qs,research_output_qs,faculty_count_qs,stu_facl_ratio_qs,international_students_qs,state,selectivity,state_top120enrollment,type1_top120enrollment,type2_top120enrollment,enrollment_top120enrollment,city.y.y,state_carnegie,basic2021_carnegie,sizeset2021_carnegie,control_carnegie,enrprofile2021_carnegie,locale_carnegie
The University of Texas at Austin,35.6,40,40,27,36.4,38.3,20.9,16.1,58.6,29.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TX,3,TX,Public,4-year,50476,Austin,TX,15,15,1,4,11
University of Arizona,NA,101-150,101,47-58,27.2,23.5,14.4,0,50.3,23.5,111,34667,36503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AZ,Public,4-year,45601,Tucson,AZ,15,15,1,4,11
Tufts University,NA,151-200,151,59-69,12.5,16.6,18.3,16.1,35.6,25.1,29,63000,6114,Medford,MA,0.11,National,NA,NA,NA,M,Private,Medford,36.5,275,Very High,1459,8,1798,MA,1,NA,NA,NA,NA,Medford,MA,15,17,2,5,21
University of Kansas,NA,201-300,201,70-95,11.2,13.5,17.6,0,41.9,16.3,125,28034,19135,NA,NA,NA,NA,NA,NA,NA,L,Public,Lawrence,28.8,387,Very High,3.3569999999999998,7,2.014,NA,NA,NA,NA,NA,NA,Lawrence,KS,15,16,1,5,13
University of Michigan-Ann Arbor,39.4,27,27,20,41,41.8,34.1,0,80.8,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,XL,Public,Ann Arbor,86.2,23,Very High,7132,6,7341,MI,2,NA,NA,NA,NA,Ann Arbor,MI,15,16,1,5,12
University of North Texas,NA,301-400,301,96-117,4.6,19.2,0,0,27.8,19,287,24234,32694,Denton,TX,0.05,National,NA,NA,NA,XL,Public,Denton,NA,1001-1200,High,1395,23,2420,NA,NA,TX,Public,4-year,40953,Denton,TX,15,15,1,4,12
Emory University,NA,101-150,101,47-58,25.3,19.2,0,0,54.8,21.8,21,55468,7010,Atlanta,GA,0.17,National,NA,NA,NA,L,Private,Atlanta,48.6,160,Very High,2725,5,2264,GA,1,NA,NA,NA,NA,Atlanta,GA,15,17,2,5,11
Virginia Commonwealth University,NA,201-300,201,70-95,5.7,16.6,10.2,13.9,36.9,15.5,178,35676,21943,NA,NA,NA,NA,NA,NA,NA,L,Public,Richmond,NA,701-750,Very High,2.771,9,995,NA,NA,VA,Public,4-year,29070,Richmond,VA,15,16,1,4,12
California Institute of Technology,57.4,9,9,7,57.6,34.5,53.5,67.5,45,100,9,58680,901,Pasadena,CA,0.08,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CA,1,NA,NA,NA,NA,Pasadena,CA,15,11,2,6,12
Cornell University,50.7,12,12,10,47.3,46.9,43.1,49.1,61.6,43.4,17,61015,14743,Ithaca,NY,0.1,National,Ithaca,NY,6692,L,Private,Ithaca,88.3,21,Very High,2843,8,5675,NY,1,NA,NA,NA,NA,Ithaca,NY,15,16,2,5,13
