university,total_score_arwu,world_rank_cat_arwu,world_rank_arwu,national_rank_arwu,n_s_arwu,hi_ci_arwu,alumni_arwu,award_arwu,pub_arwu,pcp_arwu,national_rank_kaggle,tuition_kaggle,enrollment_kaggle,city.x,state_natlib,international_students_natlib,type3_natlib,city.y,state_opendoors,international_students_opendoors,size_qs,type1_qs,city.x.x,score_qs,world_rank_qs,research_output_qs,faculty_count_qs,stu_facl_ratio_qs,international_students_qs,state,selectivity,state_top120enrollment,type1_top120enrollment,type2_top120enrollment,enrollment_top120enrollment,city.y.y,state_carnegie,basic2021_carnegie,sizeset2021_carnegie,control_carnegie,enrprofile2021_carnegie,locale_carnegie
Bryn Mawr College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bryn Mawr,PA,0.15,Liberal Arts,Bryn Mawr,PA,288,NA,NA,NA,NA,NA,NA,NA,NA,NA,PA,1,NA,NA,NA,NA,Bryn Mawr,PA,21,11,2,4,21
Claremont McKenna College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Claremont,CA,0.15,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CA,1,NA,NA,NA,NA,Claremont,CA,21,11,2,3,21
College of Wooster,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wooster,OH,0.15,Liberal Arts,Wooster,OH,282,NA,NA,NA,NA,NA,NA,NA,NA,NA,OH,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
St. John's College (MD),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Annapolis,MD,0.15,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Beloit College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Beloit,WI,0.14,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WI,2,NA,NA,NA,NA,Beloit,WI,21,8,2,2,13
Smith College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Northampton,MA,0.14,Liberal Arts,Northampton,MA,350,S,Private,Northampton,NA,601-650,Very High,378,8,368,MA,2,NA,NA,NA,NA,Northampton,MA,21,11,2,4,21
Wellesley College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wellesley,MA,0.14,Liberal Arts,Wellesley,MA,384,NA,NA,NA,NA,NA,NA,NA,NA,NA,MA,1,NA,NA,NA,NA,Wellesley,MA,21,11,2,2,21
Augustana College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rock Island,IL,0.13,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IL,3,NA,NA,NA,NA,Rock Island,IL,21,11,2,3,13
Barnard College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New York,NY,0.13,Liberal Arts,New York,NY,387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NY,1,NA,NA,NA,NA,New York,NY,21,11,2,2,11
Macalester College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,St. Paul,MN,0.13,Liberal Arts,Saint Paul,MN,388,NA,NA,NA,NA,NA,NA,NA,NA,NA,MN,1,NA,NA,NA,NA,Saint Paul,MN,21,11,2,2,11
Trinity College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hartford,CT,0.13,Liberal Arts,Hartford,CT,338,NA,NA,NA,NA,NA,NA,NA,NA,NA,CT,3,NA,NA,NA,NA,Hartford,CT,21,11,2,3,12
Bard College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Annandale on Hudson,NY,0.12,Liberal Arts,Annandale-on-Hudson,NY,263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NY,2,NA,NA,NA,NA,Annandale-On-Hudson,NY,21,11,2,4,31
Fisk University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nashville,TN,0.12,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nashville,TN,21,8,2,3,11
Lawrence University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appleton,WI,0.12,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WI,2,NA,NA,NA,NA,Appleton,WI,21,11,2,2,13
Dickinson College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carlisle,PA,0.11,Liberal Arts,Carlisle,PA,209,NA,NA,NA,NA,NA,NA,NA,NA,NA,PA,2,NA,NA,NA,NA,Carlisle,PA,21,11,2,2,13
