City,State,Population Density (Persons/Square Mile),2016 Population,Land Area (Square Miles)
Rancho Cordova,CA,"2,158","72,326",34
Gulfport,MS,"1,297","72,076",56
Lafayette,IN,"2,588","71,782",28
Lauderhill,FL,"8,397","71,626",9
Flagstaff,AZ,"1,119","71,459",64
Wilmington,DE,"6,554","71,442",11
Pawtucket,RI,"8,229","71,427",9
Canton,OH,"2,801","71,323",25
Redlands,CA,"1,973","71,288",36
Lynwood,CA,"14,708","71,187",5
Pittsburg,CA,"4,104","70,679",17
Passaic,NJ,"22,424","70,635",3
Pasco,WA,"2,314","70,579",31
Frederick,MD,"3,186","70,060",22
Weston,FL,"2,783","70,015",25
North Richland Hills,TX,"3,841","69,798",18
Maple Grove,MN,"2,132","69,576",33
Kissimmee,FL,"3,274","69,369",21
Union City,NJ,"54,138","69,296",1
St. Charles,MO,"2,930","69,293",24
Walnut Creek,CA,"3,498","69,122",20
South Jordan,UT,"3,131","69,034",22
Muncie,IN,"2,537","69,010",27
Cedar Park,TX,"3,016","68,918",23
Woodbury,MN,"1,982","68,820",35
Palatine,IL,"5,049","68,766",14
Bossier City,LA,"1,618","68,485",42
Dothan,AL,766,"68,468",89
Mount Vernon,NY,"15,568","68,344",4
Eau Claire,WI,"2,133","68,339",32
Yorba Linda,CA,"3,503","68,235",19
Davis,CA,"6,887","68,111",10
Homestead,FL,"4,491","67,996",15
Waterloo,IA,"1,107","67,934",61
Redondo Beach,CA,"10,946","67,867",6
Jacksonville,NC,"1,457","67,784",47
Gaithersburg,MD,"6,645","67,776",10
Victoria,TX,"1,907","67,670",35
St. Cloud,MN,"1,689","67,641",40
Marysville,WA,"3,270","67,626",21
Greenville,SC,"2,353","67,453",29
Delray Beach,FL,"4,261","67,371",16
Camarillo,CA,"3,449","67,363",20
Georgetown,TX,"1,403","67,140",48
Kenner,LA,"4,512","67,089",15
Palo Alto,CA,"2,807","67,024",24
Jackson,TN,"1,247","67,005",54
South San Francisco,CA,"7,328","66,980",9
Rockville,MD,"4,955","66,940",14
Portland,ME,"3,141","66,937",21
Yuba City,CA,"4,585","66,845",15
Johnson City,TN,"1,553","66,677",43
Daytona Beach,FL,"1,141","66,645",58
Oshkosh,WI,"2,602","66,579",26
Broomfield,CO,"2,014","66,529",33
Eagan,MN,"2,135","66,428",31
North Little Rock,AR,"1,287","66,278",52
Bayonne,NJ,"11,420","66,238",6
Ames,IA,"2,734","66,191",24
Mansfield,TX,"1,804","65,631",36
Harlingen,TX,"1,646","65,539",40
Alpharetta,GA,"2,428","65,338",27
Laguna Niguel,CA,"4,405","65,328",15
San Clemente,CA,"3,491","65,309",19
Conway,AR,"1,440","65,300",45
Bowling Green,KY,"1,727","65,234",38
Tamarac,FL,"5,611","65,199",12
Shawnee,KS,"1,558","65,194",42
Rogers,AR,"1,714","65,021",38
Schenectady,NY,"6,022","64,913",11
East Orange,NJ,"16,528","64,789",4
Lodi,CA,"4,750","64,641",14
Buckeye,AZ,172,"64,629",375
West Des Moines,IA,"1,673","64,560",39
Santa Cruz,CA,"5,060","64,465",13
Madera,CA,"4,081","64,444",16
Youngstown,OH,"1,894","64,312",34
North Port,FL,645,"64,274",100
Skokie,IL,"6,389","64,270",10
Lake Elsinore,CA,"1,773","64,205",36
Janesville,WI,"1,895","64,159",34
Cheyenne,WY,"2,611","64,019",25
Eden Prairie,MN,"1,970","63,914",32
Wellington,FL,"1,423","63,900",45
Jupiter,FL,"2,972","63,813",21
Sammamish,WA,"3,500","63,773",18
Lorain,OH,"2,692","63,730",24
Pico Rivera,CA,"7,667","63,635",8
Montebello,CA,"7,603","63,335",8
Encinitas,CA,"3,356","63,131",19
Auburn,AL,"1,087","63,118",58
Waltham,MA,"4,949","63,002",13
Blaine,MN,"1,858","62,892",34
Haverhill,MA,"1,907","62,873",33
Rocklin,CA,"3,213","62,787",20
Tulare,CA,"2,999","62,779",21
Council Bluffs,IA,"1,526","62,524",41
Redmond,WA,"3,836","62,458",16
Coon Rapids,MN,"2,758","62,359",23
North Miami,FL,"7,389","62,139",8
Hamilton,OH,"2,876","62,127",22
Rowlett,TX,"3,117","61,999",20
San Marcos,TX,"2,051","61,980",30
Lakeville,MN,"1,718","61,938",36
Springfield,OR,"3,932","61,893",16
Grand Junction,CO,"1,619","61,881",38
La Habra,CA,"8,367","61,664",7
Moore,OK,"2,815","61,415",22
Burnsville,MN,"2,460","61,290",25
Taylor,MI,"2,592","61,177",24
Eastvale,CA,"5,359","61,151",11
National City,CA,"8,399","61,147",7
Lehi,UT,"2,321","61,130",26
Port Orange,FL,"2,292","61,105",27
Monterey Park,CA,"7,963","61,075",8
Marietta,GA,"2,640","60,941",23
Terre Haute,IN,"1,762","60,852",35
Malden,MA,"12,071","60,840",5
Lakewood,WA,"3,533","60,665",17
Utica,NY,"3,619","60,652",17
Cupertino,CA,"5,386","60,643",11
Brentwood,CA,"4,093","60,532",15
Petaluma,CA,"4,209","60,530",14
Vineland,NJ,885,"60,525",68
Taylorsville,UT,"5,570","60,436",11
Idaho Falls,ID,"2,694","60,211",22
Noblesville,IN,"1,918","60,183",31
Bristol,CT,"2,277","60,147",26
West Allis,WI,"5,280","60,087",11
Gardena,CA,"10,300","60,048",6
La Mesa,CA,"6,602","59,948",9
St. Clair Shores,MI,"5,144","59,775",12
Pontiac,MI,"2,989","59,698",20
Meriden,CT,"2,506","59,622",24
Dublin,CA,"3,996","59,583",15
Coconut Creek,FL,"5,013","59,405",12
Casper,WY,"2,205","59,324",27
Owensboro,KY,"3,105","59,273",19
Ocala,FL,"1,322","59,253",45
Chapel Hill,NC,"2,805","59,246",21
Pflugerville,TX,"2,654","59,245",22
Lancaster,PA,"8,191","59,218",7
Novi,MI,"1,957","59,211",30
Great Falls,MT,"2,716","59,178",22
Springfield,OH,"2,336","59,087",25
Woodland,CA,"3,861","59,068",15
Royal Oak,MI,"5,009","59,006",12
Porterville,CA,"3,349","58,978",18
San Rafael,CA,"3,579","58,954",16
Huntington Park,CA,"19,561","58,879",3
Orland Park,IL,"2,690","58,862",22
Ankeny,IA,"1,999","58,627",29
Bartlett,TN,"2,200","58,622",27
