university,city,state,city_population_density,city_population,city_land_area,international_students_natlib,international_students_max,international_students_qs,international_students_opendoors,tuition_kaggle,selectivity,world_rank_cat_arwu,world_rank_arwu,world_rank_qs,national_rank_arwu,national_rank_kaggle,type1_all,type2_carnegie,type3_natlib,type4_carnegie,enrprofile2021_carnegie,locale_carnegie,size_qs,faculty_count_qs,stu_facl_ratio_qs,research_output_qs,award_arwu,hi_ci_arwu,n_s_arwu,pub_arwu,pcp_arwu,alumni_arwu,enrollment_kaggle,enrollment_top120enrollment,total_score_arwu,score_qs
Rochester Institute of Technology,Rochester,NY,5838,208880,36,0.05,1586,1586,NA,52756,very competitive plus,NA,NA,1001-1200,NA,118,private,Four-year (large),National,Doctoral Universities,Majority undergraduate,suburb,L,1136,12,Medium High,NA,NA,NA,NA,NA,NA,13412,NA,NA,NA
Baylor University,Waco,TX,1511,134432,89,NA,777,777,NA,50232,highly competitive,NA,NA,1001-1200,NA,75,private,Four-year (large),NA,Doctoral Universities,Majority undergraduate,city,L,1294,13,Very High,NA,NA,NA,NA,NA,NA,14399,NA,NA,NA
Brown University,Providence,RI,9740,179219,18,0.11,2002,2002,NA,62404,most competitive,101-150,101,51-100,47-58,14,private,Four-year (median),National,Doctoral Universities,Majority undergraduate,city,M,1389,7,Very High,19.7,9.6,20.5,46.1,33,14.4,6792,NA,NA,71.3
Tufts University,Medford,MA,7063,57213,8,0.11,1798,1798,NA,63000,most competitive,151-200,151,201-300,59-69,29,private,Four-year (large),National,Doctoral Universities,Majority undergraduate,suburb,M,1459,8,Very High,16.1,16.6,12.5,35.6,25.1,18.3,6114,NA,NA,36.5
Brigham Young University--Provo,Provo,UT,2805,116868,42,0.05,1163,1163,NA,6120,NA,401-500,401,1001-1200,118-139,80,private,Four-year (large),National,Doctoral Universities,Exclusive/Very high undergraduate,city,XL,1512,21,Very High,0,9.6,8.3,27.5,13.4,8.8,33365,36461,NA,NA
Carnegie Mellon University,Pittsburgh,PA,5484,303625,55,0.22,7396,5739,7396,58924,most competitive,51-100,91,51-100,43,25,private,Four-year (large),National,Doctoral Universities,Majority undergraduate,city,L,1534,9,Very High,31.2,21.4,12.3,35.6,30.1,31.3,7073,NA,26.8,74.6
University of Notre Dame,Notre Dame,IN,NA,NA,NA,0.06,1484,1484,NA,58843,most competitive,201-300,201,201-300,70-95,19,private,Four-year (large),National,Doctoral Universities,Majority undergraduate,suburb,L,1545,8,Very High,0,16.6,14.5,32.8,20.8,12.4,8874,NA,NA,40.9
Case Western Reserve University,Cleveland,OH,4965,385809,78,0.13,2864,2864,NA,54020,most competitive,101-150,101,151-200,47-58,44,private,Four-year (large),National,Doctoral Universities,Exclusive/Majority graduate,city,M,1639,7,Very High,10.7,19.2,15.8,40.5,24.7,32.5,5433,NA,NA,48.2
University of Rochester,Rochester,NY,5838,208880,36,0.25,3644,3644,NA,59344,most competitive,151-200,151,151-200,59-69,35,private,Four-year (large),National,Doctoral Universities,Majority undergraduate,city,M,1853,5,Very High,7.6,13.5,17.5,39.9,17.9,27.8,6521,NA,NA,50.3
Georgetown University,Washington,DC,11158,681170,61,0.14,3286,3286,NA,59957,most competitive,201-300,201,201-300,70-95,23,private,Four-year (large),National,Doctoral Universities,Exclusive/Majority graduate,city,L,2009,8,Very High,0,27.1,6,33,23.8,0,7357,NA,NA,38.7
University of Miami,Coral Gables,FL,3933,50815,13,0.11,2646,2646,NA,54760,most competitive,201-300,201,301-400,70-95,58,private,Four-year (large),National,Doctoral Universities,Majority undergraduate,city,L,2565,6,Very High,0,16.6,13.6,42,20.7,0,11334,NA,NA,33.7
Boston University,Boston,MA,13943,673184,48,0.22,10646,8159,10646,59816,highly competitive plus,51-100,70,101-150,34,42,private,Four-year (large),National,Doctoral Universities,Majority undergraduate,city,L,2642,10,Very High,11.4,30.3,24.3,53.1,23.8,11.4,16872,32718,27.9,57
University of Chicago,Chicago,IL,11883,2704958,228,0.16,4696,4696,NA,60963,most competitive,1-20,10,1-20,8,7,private,Four-year (large),National,Doctoral Universities,Exclusive/Majority graduate,city,L,2703,6,Very High,90.1,35.8,42.5,52,44.2,59.2,6989,NA,55.5,94.5
Emory University,Atlanta,GA,3549,472522,133,0.17,2264,2264,NA,55468,most competitive,101-150,101,151-200,47-58,21,private,Four-year (large),National,Doctoral Universities,Majority undergraduate,city,L,2725,5,Very High,0,19.2,25.3,54.8,21.8,0,7010,NA,NA,48.6
Cornell University,Ithaca,NY,NA,NA,NA,0.1,6692,5675,6692,61015,most competitive,1-20,12,21-50,10,17,private,Four-year (large),National,Doctoral Universities,Majority undergraduate,city,L,2843,8,Very High,49.1,46.9,47.3,61.6,43.4,43.1,14743,NA,50.7,88.3
Massachusetts Institute of Technology,Cambridge,MA,17316,110651,6,0.1,3730,3730,NA,55878,most competitive,1-20,4,1-20,3,4,private,Four-year (large),National,Doctoral Universities,Exclusive/Majority graduate,city,M,3065,4,Very High,83.6,52.5,71.4,64.4,70.3,70.9,4361,NA,69.9,100
University of Southern California,Los Angeles,CA,8484,3976322,469,0.12,14992,9107,14992,60275,most competitive,51-100,60,101-150,33,27,private,Four-year (large),National,Doctoral Universities,Exclusive/Majority graduate,city,XL,3116,10,Very High,31.3,31.8,20.4,55.1,24.6,0,19606,46287,30.8,57
Northwestern University,Evanston,IL,9627,74895,8,0.1,3846,3846,NA,60984,most competitive,21-50,25,21-50,18,12,private,Four-year (large),National,Doctoral Universities,Exclusive/Majority graduate,city,L,3652,5,Very High,27.6,48.8,33.3,62.2,31.7,15.2,8194,NA,39.9,82.8
Vanderbilt University,Nashville,TN,1390,660388,475,0.1,2022,2022,NA,56966,most competitive,21-50,50,201-300,31,15,private,Four-year (large),National,Doctoral Universities,Majority undergraduate,city,L,4473,3,Very High,28.6,30.3,23,53.4,35.3,15.2,7057,NA,32.8,41.7
Harvard University,Cambridge,MA,17316,110651,6,0.12,5877,5877,5562,55587,most competitive,1-20,1,1-20,1,3,private,Four-year (large),National,Doctoral Universities,Exclusive/Majority graduate,city,L,4646,5,Very High,100,100,100,100,79.6,100,5222,30391,100,98
Stanford University,Stanford,CA,NA,NA,NA,0.11,3879,3879,NA,56169,most competitive,1-20,2,1-20,2,6,private,Four-year (large),National,Doctoral Universities,Exclusive/Majority graduate,suburb,L,4725,3,Very High,88.5,76.6,78.6,76.5,56,44.5,6366,NA,75.6,98.7
Johns Hopkins University,Baltimore,MD,7594,614664,81,0.14,6723,5070,6723,58720,most competitive,1-20,18,21-50,15,11,private,Four-year (large),National,Doctoral Universities,Exclusive/Majority graduate,city,L,4855,3,Very High,33.2,37.1,43.4,75.7,28.7,37.3,6331,28890,45.4,85.9
University of Pennsylvania,Philadelphia,PA,11692,1567872,134,0.13,6562,4636,6562,61710,most competitive,1-20,16,1-20,14,8,private,Four-year (large),National,Doctoral Universities,Exclusive/Majority graduate,city,L,5154,4,Very High,33.4,46.9,41.7,69.7,39.7,31.3,9872,NA,46.4,90.7
Yale University,New Haven,CT,6956,129934,19,0.1,2537,2537,NA,59950,most competitive,1-20,12,1-20,10,5,private,Four-year (large),National,Doctoral Universities,Exclusive/Majority graduate,city,M,5391,2,Very High,49.7,44.9,53.4,58.7,35.7,47.1,4703,NA,50.7,90.2
Duke University,Durham,NC,2450,263016,107,0.09,3445,3445,NA,60489,most competitive,21-50,26,51-100,19,10,private,Four-year (large),National,Doctoral Universities,Exclusive/Majority graduate,city,L,5673,3,Very High,19,55.9,35.6,63.9,25.5,15.2,6717,NA,39.7,75.2
New York University,New York,NY,28211,8537673,303,0.24,17050,16218,17050,56500,most competitive,21-50,32,21-50,24,28,private,Four-year (large),National,Doctoral Universities,Majority undergraduate,city,XL,7874,6,Very High,31.5,25.3,39.5,60.6,20.8,29.6,27444,52775,37.2,78.9
Abilene Christian University,Abilene,TX,1145,122225,107,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,private,Four-year (median),National,Doctoral Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alvernia University,Reading,PA,8864,87575,10,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,private,Four-year (small),National,Doctoral Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
American Film Institute Conservatory,Los Angeles,CA,8484,3976322,469,NA,136,NA,136,NA,NA,NA,NA,NA,NA,NA,private,NA,NA,Special Focus Four-Year,Exclusive/Majority graduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amherst College,Amherst,MA,NA,NA,NA,0.1,201,NA,201,NA,most competitive,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andrews University,Berrien Springs,MI,NA,NA,NA,0.18,NA,NA,NA,31008,NA,NA,NA,NA,NA,300,private,Four-year (small),National,Doctoral Universities,Majority undergraduate,town or rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1708,NA,NA,NA
Aquinas College,Grand Rapids,MI,4424,196445,44,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Augustana College,Rock Island,IL,NA,NA,NA,0.13,NA,NA,NA,NA,highly competitive,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Babson College,Wellesley,MA,NA,NA,NA,NA,1084,NA,1084,NA,highly competitive,NA,NA,NA,NA,NA,private,Four-year (small),NA,Special Focus Four-Year,Majority undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bard College,Annandale on Hudson,NY,NA,NA,NA,0.12,263,NA,263,NA,highly competitive plus,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Majority undergraduate,town or rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Barnard College,New York,NY,28211,8537673,303,0.13,387,NA,387,NA,most competitive,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bates College,Lewiston,ME,NA,NA,NA,0.09,NA,NA,NA,NA,most competitive,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baylor College of Medicine,Houston,TX,3842,2303482,600,NA,247,NA,247,NA,NA,101-150,101,NA,47-58,NA,private,NA,NA,Special Focus Four-Year,Exclusive/Majority graduate,city,NA,NA,NA,NA,0,23.5,30.1,44.5,19.1,0,NA,NA,NA,NA
Beloit College,Beloit,WI,NA,NA,NA,0.14,NA,NA,NA,NA,highly competitive plus,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bennington College,Bennington,VT,NA,NA,NA,0.18,NA,NA,NA,NA,highly competitive,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Majority undergraduate,town or rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bentley University,Waltham,MA,4949,63002,13,NA,968,NA,968,NA,NA,NA,NA,NA,NA,NA,private,Four-year (median),NA,Master's Colleges & Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Berea College,Berea,KY,NA,NA,NA,0.08,NA,NA,NA,NA,very competitive plus,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,town or rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Berklee College of Music,Boston,MA,13943,673184,48,NA,1685,NA,1685,NA,NA,NA,NA,NA,NA,NA,private,Four-year (median),NA,Master's Colleges & Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bethany Lutheran College,Mankato,MN,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Biola University,La Mirada,CA,NA,NA,NA,0.06,NA,NA,NA,44382,NA,NA,NA,NA,NA,196,private,Four-year (median),National,Doctoral Universities,Majority undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3682,NA,NA,NA
Boston Architectural College,Boston,MA,13943,673184,48,NA,192,NA,192,NA,NA,NA,NA,NA,NA,NA,private,Four-year (small),NA,Special Focus Four-Year,Exclusive/Majority graduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bowdoin College,Brunswick,ME,NA,NA,NA,0.07,NA,NA,NA,NA,most competitive,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,town or rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Briar Cliff University,Sioux City,IA,1445,82872,57,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,private,Four-year (small),National,Doctoral Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bryn Mawr College,Bryn Mawr,PA,NA,NA,NA,0.15,288,NA,288,NA,most competitive,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Majority undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bucknell University,Lewisburg,PA,NA,NA,NA,0.05,234,NA,234,NA,most competitive,NA,NA,NA,NA,NA,private,Four-year (median),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,town or rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
California College of the Arts,San Francisco,CA,18581,870887,47,NA,701,NA,701,NA,NA,NA,NA,NA,NA,NA,private,Four-year (small),NA,Special Focus Four-Year,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
California Institute of the Arts,Valencia,CA,NA,NA,NA,NA,387,NA,387,NA,NA,NA,NA,NA,NA,NA,private,Four-year (small),NA,Master's Colleges & Universities,Majority undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cardinal Stritch University,Milwaukee,WI,6191,595047,96,0.21,NA,NA,NA,34762,NA,NA,NA,NA,NA,307,private,Four-year (small),National,Doctoral Universities,Majority undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1068,NA,NA,NA
Carleton College,Northfield,MN,NA,NA,NA,0.1,217,NA,217,NA,most competitive,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,town or rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carson-Newman University,Jefferson City,TN,NA,NA,NA,0.06,NA,NA,NA,31320,NA,NA,NA,NA,NA,308,private,Four-year (small),National,Doctoral Universities,Majority undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1722,NA,NA,NA
Claremont McKenna College,Claremont,CA,NA,NA,NA,0.15,NA,NA,NA,NA,most competitive,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clarke University,Dubuque,IA,1953,58531,30,0.06,NA,NA,NA,36870,NA,NA,NA,NA,NA,240,private,Four-year (small),National,Doctoral Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,659,NA,NA,NA
Colby College,Waterville,ME,NA,NA,NA,0.09,199,NA,199,NA,most competitive,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,town or rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colgate University,Hamilton,NY,NA,NA,NA,0.09,319,NA,319,NA,most competitive,NA,NA,NA,NA,NA,private,Four-year (median),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,town or rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colorado College,Colorado Springs,CO,2391,465101,195,0.07,NA,NA,NA,NA,highly competitive plus,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Concordia College at Moorhead,Moorhead,MN,NA,NA,NA,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Connecticut College,New London,CT,NA,NA,NA,0.09,NA,NA,NA,NA,most competitive,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dallas Baptist University,Dallas,TX,3870,1317929,341,0.06,NA,NA,NA,33620,NA,NA,NA,NA,NA,288,private,Four-year (median),National,Doctoral Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2874,NA,NA,NA
Davidson College,Davidson,NC,NA,NA,NA,0.08,NA,NA,NA,NA,most competitive,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Denison University,Granville,OH,NA,NA,NA,0.17,397,NA,397,NA,highly competitive plus,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DePauw University,Greencastle,IN,NA,NA,NA,0.17,278,NA,278,NA,NA,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,town or rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dickinson College,Carlisle,PA,NA,NA,NA,0.11,209,NA,209,NA,highly competitive plus,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drew University,Madison,NJ,NA,NA,NA,0.11,442,NA,442,NA,NA,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Majority undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Earlham College,Richmond,IN,NA,NA,NA,0.2,207,NA,207,NA,very competitive plus,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,town or rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Emerson College,Boston,MA,13943,673184,48,NA,640,NA,640,NA,highly competitive,NA,NA,NA,NA,NA,private,Four-year (median),NA,Master's Colleges & Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fairfax University of America,Fairfax,VA,NA,NA,NA,NA,166,NA,166,NA,NA,NA,NA,NA,NA,NA,private,Four-year (small),NA,Baccalaureate Colleges,Exclusive/Majority graduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fisk University,Nashville,TN,1390,660388,475,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Florida Institute of Technology,Melbourne,FL,2398,81185,34,0.19,NA,NA,NA,43246,NA,NA,NA,NA,NA,206,private,Four-year (median),National,Doctoral Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3475,NA,NA,NA
Franklin and Marshall College,Lancaster,PA,8191,59218,7,0.18,430,NA,430,NA,most competitive,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gallaudet University,Washington,DC,11158,681170,61,0.05,NA,NA,NA,17112,NA,NA,NA,NA,NA,129,private,Four-year (small),National,Doctoral Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1019,NA,NA,NA
Gannon University,Erie,PA,5167,98593,19,0.1,NA,NA,NA,34526,NA,NA,NA,NA,NA,227,private,Four-year (median),National,Doctoral Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3208,NA,NA,NA
Gettysburg College,Gettysburg,PA,NA,NA,NA,0.05,NA,NA,NA,NA,highly competitive plus,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gordon College,Wenham,MA,NA,NA,NA,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Majority undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grinnell College,Grinnell,IA,NA,NA,NA,0.2,346,NA,346,NA,highly competitive,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,town or rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hamilton College,Clinton,NY,NA,NA,NA,0.07,NA,NA,NA,NA,most competitive,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hampshire College,Amherst,MA,NA,NA,NA,0.06,NA,NA,NA,NA,highly competitive,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harding University,Searcy,AR,NA,NA,NA,0.06,NA,NA,NA,22470,NA,NA,NA,NA,NA,250,private,Four-year (median),National,Doctoral Universities,Majority undergraduate,town or rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3574,NA,NA,NA
Harvey Mudd College,Claremont,CA,NA,NA,NA,0.09,NA,NA,NA,NA,most competitive,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haverford College,Haverford,PA,NA,NA,NA,0.11,NA,NA,NA,NA,most competitive,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hollins University,Roanoke,VA,2342,99660,43,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Juniata College,Huntingdon,PA,NA,NA,NA,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,town or rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kenyon College,Gambier,OH,NA,NA,NA,0.1,NA,NA,NA,NA,most competitive,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,town or rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Knox College,Galesburg,IL,NA,NA,NA,0.16,NA,NA,NA,NA,highly competitive plus,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,town or rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lafayette College,Easton,PA,NA,NA,NA,0.08,255,NA,255,NA,most competitive,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lake Forest College,Lake Forest,IL,NA,NA,NA,0.16,NA,NA,NA,NA,very competitive plus,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lawrence Technological University,Southfield,MI,2783,73100,26,NA,597,NA,597,NA,NA,NA,NA,NA,NA,NA,private,Four-year (small),NA,Master's Colleges & Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lawrence University,Appleton,WI,3057,74370,24,0.12,NA,NA,NA,NA,highly competitive plus,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lincoln Memorial University,Harrogate,TN,NA,NA,NA,0.06,NA,NA,NA,24210,NA,NA,NA,NA,NA,252,private,Four-year (median),National,Doctoral Universities,Exclusive/Majority graduate,town or rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1817,NA,NA,NA
Loma Linda University,Loma Linda,CA,NA,NA,NA,NA,327,NA,327,NA,NA,NA,NA,NA,NA,NA,private,Four-year (median),NA,Doctoral Universities,Exclusive/Majority graduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Loyola Marymount University,Los Angeles,CA,8484,3976322,469,0.1,NA,NA,NA,53051,NA,NA,NA,NA,NA,77,private,Four-year (median),National,Doctoral Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6673,NA,NA,NA
Luther College,Decorah,IA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,town or rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
